"Pais","Regiao","Ano","Populacao","ExpectativaVida","PIB","PIB_Capita","Fertilidade","Pobreza"
"Bosnia and Herzegovina","Europe & Central Asia",2011,3832310,75.9629268292683,18628022743.4257,9422.27610821481,1.286,NA
"Bosnia and Herzegovina","Europe & Central Asia",2010,3835258,75.8076829268293,17163117551.4626,8941.52270817606,1.288,NA
"Bosnia and Herzegovina","Europe & Central Asia",2012,3828419,76.1201707317073,17207367625.8048,9705.01397901882,1.28,NA
"Barbados","Latin America & Caribbean",2012,281580,75.1710243902439,4.313e+09,15673.1733129577,1.788,NA
"Barbados","Latin America & Caribbean",2009,278466,74.6824878048781,4.602e+09,14872.8644796034,1.777,NA
"Barbados","Latin America & Caribbean",2011,280602,75.0081463414634,4.358e+09,15401.5496498863,1.785,NA
"Barbados","Latin America & Caribbean",2010,279566,74.8452926829268,4445500000,15036.3625304529,1.781,NA
"Bangladesh","South Asia",2010,151616777,70.0802926829268,115279077465.226,2401.71873977807,2.332,77.61
"Bangladesh","South Asia",2011,153405612,70.4719512195122,128637938711.386,2579.33504808833,2.286,NA
"Bangladesh","South Asia",2012,155257387,70.8602682926829,133355749482.478,2764.78192830626,2.245,NA
"Bangladesh","South Asia",2009,149905836,69.6837804878049,102477791472.39,2273.16420141086,2.387,NA
"Belgium","Europe & Central Asia",2010,10895586,80.1829268292683,483577483443.709,39257.834474162,1.86,NA
"Belgium","Europe & Central Asia",2009,10796493,79.9829268292683,484552653514.865,37629.442841568,1.84,NA
"Belgium","Europe & Central Asia",2012,11128246,80.3853658536585,497815990388.023,41930.6618333441,1.79,NA
"Belgium","Europe & Central Asia",2011,11047744,80.5853658536585,526975257158.743,40858.7251704577,1.81,NA
"Burkina Faso","Sub-Saharan Africa",2012,16590813,57.8793170731707,11166061507.8024,1547.64937169723,5.693,NA
"Burkina Faso","Sub-Saharan Africa",2010,15632066,57.0513902439024,8979966766.07232,1393.56272130626,5.867,NA
"Burkina Faso","Sub-Saharan Africa",2009,15165856,56.5249756097561,8369175126.25316,1308.54604571826,5.953,80.47
"Burkina Faso","Sub-Saharan Africa",2011,16106851,57.4920487804878,10724061338.5874,1470.43518369954,5.78,NA
"Bulgaria","Europe & Central Asia",2010,7395599,73.5121951219512,49939168133.207,15084.3221603393,1.57,3.8
"Bulgaria","Europe & Central Asia",2009,7444443,73.4121951219512,51783454183.5501,14870.8054059912,1.66,2.61
"Bulgaria","Europe & Central Asia",2011,7348328,74.1634146341463,56949835051.5464,15603.0516627461,1.51,4.66
"Bulgaria","Europe & Central Asia",2012,7305888,74.3146341463415,53576670827.8581,16097.8343137084,1.5,4.7
"Bahrain","Middle East & North Africa",2009,1196774,75.9877804878049,22938218085.1064,39343.225490129,2.179,NA
"Bahrain","Middle East & North Africa",2012,1333577,76.4076341463415,30756462765.9574,40992.5567832413,2.095,NA
"Bahrain","Middle East & North Africa",2010,1261319,76.1275609756098,25713271276.5957,39423.6512887923,2.142,NA
"Bahrain","Middle East & North Africa",2011,1306014,76.2678536585366,29044069148.9362,39676.7170222452,2.115,NA
"Burundi","Sub-Saharan Africa",2010,9461117,54.8291951219512,2026864469.36388,693.470003441916,6.302,NA
"Burundi","Sub-Saharan Africa",2009,9137786,54.3512195121951,1739781488.7457,683.468685414746,6.391,NA
"Burundi","Sub-Saharan Africa",2012,10124572,55.7892926829268,2472384906.99794,730.033565596062,6.123,NA
"Burundi","Sub-Saharan Africa",2011,9790151,55.3120243902439,2355652125.85184,712.670483388994,6.212,NA
"Benin","Sub-Saharan Africa",2010,9509798,58.7297073170732,6970240895.49888,1723.79692585274,5.094,NA
"Benin","Sub-Saharan Africa",2012,10049792,59.1219756097561,8117100933.52537,1826.80893511019,4.927,NA
"Benin","Sub-Saharan Africa",2011,9779391,58.9329024390244,7814081155.64988,1761.57433063086,5.009,75.63
"Benin","Sub-Saharan Africa",2009,9240982,58.4912682926829,7097198711.61023,1716.20726781722,5.182,NA
"Bermuda","North America",2010,65124,79.2885365853658,5744414000,55254.2141192067,1.76,NA
"Bermuda","North America",2009,65636,79.3884390243903,5806378000,55320.1617108278,1.76,NA
"Bermuda","North America",2011,64564,81.1526829268293,5550771000,54984.5103947777,1.59,NA
"Bermuda","North America",2012,64798,81.6778048780488,5537537000,53097.6962878821,1.59,NA
"Brunei Darussalam","East Asia & Pacific",2010,393302,77.5982682926829,12370616061.6062,70486.3330607909,1.953,NA
"Brunei Darussalam","East Asia & Pacific",2009,387080,77.2682926829268,10732366286.2643,68962.8552142326,1.968,NA
"Brunei Darussalam","East Asia & Pacific",2011,399443,77.9323170731708,16691533190.2377,73265.1216346752,1.934,NA
"Brunei Darussalam","East Asia & Pacific",2012,405512,78.2525853658537,16953505121.6389,74195.021192084,1.913,NA
"Bolivia","Latin America & Caribbean",2011,10078238,66.9425609756098,23963033443.8518,5598.56677250699,3.133,14.62
"Bolivia","Latin America & Caribbean",2010,9918245,66.407756097561,19649631308.1648,5298.08290966756,3.2,NA
"Bolivia","Latin America & Caribbean",2012,10238762,67.4454634146341,27084497539.7974,5899.78130262682,3.073,15.77
"Bolivia","Latin America & Caribbean",2009,9758799,65.848,17339992165.2422,5108.8468943723,3.271,19.2
"Brazil","Latin America & Caribbean",2012,202401584,73.8395853658537,2460658440428.04,15246.2607662872,1.812,9.28
"Brazil","Latin America & Caribbean",2011,200517584,73.5523414634146,2614573170731.71,14827.1467182835,1.823,11.37
"Brazil","Latin America & Caribbean",2010,198614208,73.2641463414634,2208872214643.02,14114.5185441419,1.838,NA
"Brazil","Latin America & Caribbean",2009,196701298,72.9780243902439,1667020106031.81,13093.9972215199,1.863,13.46
"Bahamas, The","Latin America & Caribbean",2009,354780,74.4239024390244,7820420000,22196.8194943696,1.901,NA
"Bahamas, The","Latin America & Caribbean",2011,366711,74.7544146341464,7889750000,22665.1675571131,1.9,NA
"Bahamas, The","Latin America & Caribbean",2010,360830,74.5923902439024,7909580000,22431.1376351944,1.904,NA
"Bahamas, The","Latin America & Caribbean",2012,372388,74.9144634146342,8234470000,23234.7922247687,1.893,NA
"Bhutan","South Asia",2009,707830,67.4166585365854,1264758197.96593,5717.16573671645,2.431,NA
"Bhutan","South Asia",2010,720246,67.8924146341463,1585472534.10547,6354.39393447452,2.331,NA
"Bhutan","South Asia",2011,732246,68.3231951219512,1820207625.80217,6882.68840700056,2.236,NA
"Bhutan","South Asia",2012,743711,68.7229024390244,1823692109.61652,7251.43319165982,2.152,13.5
"Botswana","Sub-Saharan Africa",2011,2089706,63.9516097560976,15682931970.4016,13634.267890571,2.89,NA
"Botswana","Sub-Saharan Africa",2010,2047831,63.4022926829268,12786662034.8563,12854.1648943944,2.893,NA
"Botswana","Sub-Saharan Africa",2012,2132822,64.2227317073171,14686249032.0379,14211.0075286066,2.881,NA
"Botswana","Sub-Saharan Africa",2009,2007212,62.4170975609756,10267128733.351,11934.0608860359,2.895,35.74
"Belarus","Europe & Central Asia",2009,9507000,70.4073170731707,49208656976.039,14082.5382840594,1.42,0.54
"Belarus","Europe & Central Asia",2011,9473000,70.5536585365854,59734593904.6402,16603.3895298874,1.51,0.01
"Belarus","Europe & Central Asia",2010,9490000,70.4048780487805,55220932613.958,15385.4592726836,1.44,0.09
"Belarus","Europe & Central Asia",2012,9464000,71.9658536585366,63615445566.8483,17218.3561003897,1.62,0.03
"Belize","Latin America & Caribbean",2009,313925,69.7030731707317,1336957250,7558.52150065336,2.762,NA
